LOC,LH_number,Name,Pathway,Type,Symbol,FB_number,GB_number,Comment
105677169,LH23051,probable ATP-dependent RNA helicase spindle-E,RNAi-associated,NA,NA,NA,NA,NA
105677178,LH26167,alpha-2-macroglobulin-like protein 1,Bacteria defense,NA,Tep3,FBgn0041181,NA,NA
105677187,LH26166,serine protease easter-like,SPs,SPs,SP1,NA,GB45701,NA
105677214,NA,protein argonaute-2 isoform X1,RNAi,NA,NA,NA,NA,NA
105677322,NA,ATP-dependent RNA helicase bel,RNAi-associated,NA,NA,NA,NA,NA
105677380,NA,LOW QUALITY PROTEIN: putative helicase MOV-10,RNAi-associated,NA,NA,NA,NA,NA
105677438,LH23291,myeloid differentiation primary response protein MyD88-like,TOLL,NA,Myd88,NA,GB51498,NA
105677448,LH23292,myeloid differentiation primary response protein MyD88-A-like,TOLL,NA,Myd88,NA,GB51498,NA
105677519,NA,ubiquitin-conjugating enzyme E2 variant 2 [KO:K10704],Imd,NA,NA,NA,NA,NA
105677521,NA,exportin-5 isoform X1,RNAi-associated,NA,NA,NA,NA,NA
105677579,NA,LOW QUALITY PROTEIN: tudor domain-containing protein 7-like,RNAi-associated,NA,NA,NA,NA,NA
105677585,LH23286,venom protease-like,SPs,SPs,SP30,NA,GB54246,NA
105677688,LH23563,embryonic polarity protein dorsal-like,TOLL,NA,dl,FBgn0260632,NA,NA
105677755,LH23593,embryonic polarity protein dorsal,TOLL,NA,dl,FBgn0260632,NA,NA
105677920,LH23786,tyrosine-protein kinase hopscotch,JAK-STAT,NA,hop,FBgn0004864,NA,NA
105678063,LH23955,peptidoglycan-recognition protein LC-like,Imd,PGRPs,PGRP-LC,NA,GB42500,NA
105678078,NA,JNK-interacting protein 1,JNK,NA,NA,NA,NA,NA
105678145,NA,microprocessor complex subunit DGCR8 isoform X1,RNAi-associated,NA,NA,NA,NA,NA
105678219,LH24134,uncharacterized 105678219,TOLL,NA,spz,FBgn0003495,NA,putative
105678356,LH24134,uncharacterized 105678356,TOLL,NA,spz,FBgn0003495,NA,putative
105678357,LH24134,protein spaetzle,TOLL,NA,spz,FBgn0003495,NA,NA
105678455,LH11454,caspase-3,Imd,NA,Dredd,FBgn0020381,NA,putative
105678458,NA,toll-interacting protein-like,TOLL,NA,NA,NA,NA,NA
105678482,LH26206,NF-kappa-B inhibitor cactus-like,TOLL,NA,cact1,NA,GB44055,NA
105678483,LH24529,NF-kappa-B inhibitor cactus-like,TOLL,NA,cact1,NA,GB44055,NA
105678605,LH24562,cactin,TOLL,NA,cactin,FBgn0031114,NA,NA
105678648,NA,protein toll-like [KO:K18809],TOLL,NA,NA,NA,NA,NA
105678691,LH24610,scavenger receptor class B member 1-like,Autophagy-Endocytosis,NA,SCR-B10,NA,GB50866,NA
105678693,LH24616,scavenger receptor class B member 1,Autophagy-Endocytosis,NA,SCR-B2,NA,GB45986,NA
105678701,LH24788,uncharacterized 105678701,SPs,SPs,SP1,NA,GB45701,putative
105678703,LH24788,uncharacterized 105678703,SPs,SPs,SP30,NA,GB54246,putative
105678761,LH24668,serine protease inhibitor 3/4-like,SPs,SPs,serpin-1,NA,GB46970,inhibitor
105678784,LH26257,protein toll-like,TOLL,NA,Toll-1,NA,GB50418,NA
105678813,NA,uncharacterized protein LOC105678813 [KO:K20701],Imd,NA,NA,NA,NA,NA
105678817,LH26256,protein toll-like,TOLL,NA,Toll-1,NA,GB50418,NA
105678818,NA,protein toll-like isoform X1 [KO:K18809],TOLL,NA,NA,NA,NA,NA
105678912,NA,protein toll-like [KO:K18809],TOLL,NA,NA,NA,NA,NA
105678915,NA,protein toll-like isoform X1 [KO:K18809],TOLL,NA,NA,NA,NA,NA
105678920,NA,protein toll-like [KO:K18809],TOLL,NA,NA,NA,NA,NA
105679052,NA,inhibitor of nuclear factor kappa-B kinase subunit beta [KO:K07209] [EC:2.7.11.10],Imd,NA,NA,NA,NA,NA
105679263,NA,probable methyltransferase TARBP1,RNAi-associated,NA,NA,NA,NA,NA
105679318,NA,protein argonaute-3,RNAi,NA,NA,NA,NA,NA
105679398,NA,uncharacterized protein LOC105679398,RNAi-associated,NA,NA,NA,NA,NA
105679800,LH11980,protein pellino,TOLL,inhibitor,Pli,FBgn0025574,NA,NA
105679862,NA,LOW QUALITY PROTEIN: protein TANC2-like,RNAi-associated,NA,NA,NA,NA,NA
105679980,LH12387,chymotrypsin-2-like,SPs,SPs,SP30,NA,GB54246,NA
105679991,LH12311,lysozyme-like,TOLL-Imd,AMPs,Lys-3,NA,GB47104,NA
105679996,NA,protein toll-like isoform X1 [KO:K18809],TOLL,NA,NA,NA,NA,NA
105680007,LH26213,protein toll,TOLL,NA,Toll-1,NA,GB50418,NA
105680121,NA,LOW QUALITY PROTEIN: protein toll-like [KO:K18809],TOLL,NA,NA,NA,NA,NA
